tp,map
22:49,ㄗㄜ
22:53,ㄗㄞ
22:57,ㄗㄟ
23:01,ㄗㄠ
23:05,ㄗㄡ
23:09,ㄗㄢ
23:13,ㄗㄣ
23:17,ㄗㄤ
23:21,ㄗㄥ
23:25,ㄗㄨ
23:30,ㄗㄨㄛ
23:34,ㄗㄨㄟ
23:38,ㄗㄨㄢ
23:42,ㄗㄨㄣ
23:46,ㄗㄨㄥ
23:51,ㄘ
23:55,ㄘㄚ
23:59,ㄘㄜ
24:03,ㄘㄞ
24:07,ㄘㄠ
24:12,ㄘㄡ
24:16,ㄘㄢ
24:20,ㄘㄣ
24:24,ㄘㄤ
24:28,ㄘㄥ
24:32,ㄘㄨ
24:36,ㄘㄨㄛ
24:40,ㄘㄨㄟ
24:44,ㄘㄨㄢ
24:49,ㄘㄨㄣ
24:53,ㄘㄨㄥ
24:56,ㄙ
25:01,ㄙㄚ
25:05,ㄙㄟ
25:09,ㄙㄜ
25:13,ㄙㄞ
25:17,ㄙㄠ
25:22,ㄙㄡ
25:26,ㄙㄢ
25:30,ㄙㄣ
25:34,ㄙㄤ
25:39,ㄙㄥ
25:43,ㄙㄨ
25:47,ㄙㄨㄛ
25:51,ㄙㄨㄟ
25:56,ㄙㄨㄢ
26:00,ㄙㄨㄣ
26:04,ㄙㄨㄥ
26:08,ㄚ
26:14,ㄜ
26:17,ㄞ
26:21,ㄠ
26:25,ㄛ
26:29,ㄢ
26:33,ㄣ
26:37,ㄤ
26:41,ㄥ
26:45,ㄦ
26:48,一
26:52,一ㄚ
26:56,一ㄛ
27:00,一ㄝ
27:04,一ㄞ
27:08,ㄧㄠ
27:12,一ㄡ
27:16,一ㄢ
27:20,一ㄣ
27:24,一ㄤ
27:28,一ㄥ
27:32,ㄨ
27:36,ㄨㄚ
27:39,ㄨㄛ
27:43,ㄨㄞ
27:47,ㄨㄟ
27:51,ㄨㄢ
27:55,ㄨㄣ
27:59,ㄨㄤ
28:03,ㄨㄥ
28:07,ㄩ
28:11,ㄩㄝ
28:15,ㄩㄢ
28:19,ㄩㄣ
28:23,ㄩㄥ
